Artist	Sort Artist	Album	Album Name	Sort Album	Year	Genre	Disc Number	Disc Count	Grouping	Track Number	Name	Time
The Smiths	Smiths, The	Last Night I Dreamt That Somebody Me	Last Night I Dreamt That Somebody Me	5555 - 1987m - Last Night I Dreamt That Somebody Loved Me	1987	Alternative	1	1	(EP) 12inch	1	Last Night I Dreamt That Somebody Me	05:04
The Smiths	Smiths, The	Last Night I Dreamt That Somebody Me	Last Night I Dreamt That Somebody Me	5555 - 1987m - Last Night I Dreamt That Somebody Loved Me	1987	Alternative	1	1	(EP) 12inch	2	Rusholme Ruffians	04:04
The Smiths	Smiths, The	Last Night I Dreamt That Somebody Me	Last Night I Dreamt That Somebody Me	5555 - 1987m - Last Night I Dreamt That Somebody Loved Me	1987	Alternative	1	1	(EP) 12inch	3	Nowhere Fast	02:39
Iron Maiden	Iron Maiden	Holy Smoke	Holy Smoke	5555 - 1990a - Holy Smoke	1990	Metal	1	1	(Single) 7inch	1	Holy Smoke	03:47
Iron Maiden	Iron Maiden	Holy Smoke	Holy Smoke	5555 - 1990a - Holy Smoke	1990	Metal	1	1	(Single) 7inch	2	All In Your Mind	05:58
Morrissey	Morrissey	Tomorrow	Tomorrow	5555 - 1992e - Tomorrow	1992	Alternative	1	1	(Single) CAS	1	Tomorrow	04:18
Morrissey	Morrissey	Tomorrow	Tomorrow	5555 - 1992e - Tomorrow	1992	Alternative	1	1	(Single) CAS	2	Let The Right One Slip In	02:30
The Smiths	Smiths, The	Sweet And Tender Hooligan	Sweet And Tender Hooligan	5555 - 1992m - Sweet And Tender Hooligan	1992	Alternative	1	1	(Single) 7inch	1	Sweet And Tender Hooligan	03:12
The Smiths	Smiths, The	Sweet And Tender Hooligan	Sweet And Tender Hooligan	5555 - 1992m - Sweet And Tender Hooligan	1992	Alternative	1	1	(Single) 7inch	2	I Keep Mine Hidden	01:59
Therapy?	Therapy?	Opal Mantra	Opal Mantra	5555 - 1993b - Opal Mantra	1993	Metal	1	1	(Single) 7inch	1	Opal Mantra	02:28
